date_or_period,geographic_level,geographic_area,sector,intervention_domain,measure,target_value,achieved_value,unit,source_file,source_type,source_url,publication_date,access_date,evidence_level,notes
"2022-05-18","市级","银川市","多部门","三年攻坚启动","召开银川市布病三年攻坚行动启动会；卫健、农业农村、教育、科技、财政、市场监管、医保、动物疾控、疾控、健康教育及定点医院等参会","","1","次","全区及银川市三年攻坚措施.txt","内部/官方工作汇总","https://github.com/adgo07/wuqiong-paper/blob/main/全区及银川市三年攻坚措施.txt","未载明","2026-09-21","B","用于界定银川实际启动时点；主 ITS 候选断点建议为启动后的首个完整月 2022-06。"
"2022","市级","银川市","卫生健康","高危人群筛查","筛查布病高危人群","","18353","人","全区及银川市三年攻坚措施.txt","内部/官方工作汇总","https://github.com/adgo07/wuqiong-paper/blob/main/全区及银川市三年攻坚措施.txt","未载明","2026-09-21","B","银川市实际执行量。"
"2022","市级","银川市","卫生健康","健康教育","开展布病宣传活动","","52","次","全区及银川市三年攻坚措施.txt","内部/官方工作汇总","https://github.com/adgo07/wuqiong-paper/blob/main/全区及银川市三年攻坚措施.txt","未载明","2026-09-21","B","宣传覆盖 13,959 人。"
"2022","市级","银川市","卫生健康","高危职业人群防护","发放干预包并开展行为干预","","17650/17523","套/人","全区及银川市三年攻坚措施.txt","内部/官方工作汇总","https://github.com/adgo07/wuqiong-paper/blob/main/全区及银川市三年攻坚措施.txt","未载明","2026-09-21","B","17,650 套干预包；干预 17,523 人。"
"2022","市级","银川市","卫生健康/多部门","培训","开展布病防治培训","","14；700+","期；人","全区及银川市三年攻坚措施.txt","内部/官方工作汇总","https://github.com/adgo07/wuqiong-paper/blob/main/全区及银川市三年攻坚措施.txt","未载明","2026-09-21","B","14 期，培训 700 余人。"
"2023","市级","银川市","卫生健康","诊疗培训","培训 2023 年版布病诊疗方案并梳理问题、提出整改意见","","已实施","","全区及银川市三年攻坚措施.txt","内部/官方工作汇总","https://github.com/adgo07/wuqiong-paper/blob/main/全区及银川市三年攻坚措施.txt","未载明","2026-09-21","B","支持诊疗规范化和发现能力提升。"
"2022-2023","市/县区","银川市及六县区","多部门","联防联控/督导","县区制定年度布病防治计划、方案，组织实施、督导检查、总结报告并通报监测信息","","持续实施","","全区及银川市三年攻坚措施.txt","内部/官方工作汇总","https://github.com/adgo07/wuqiong-paper/blob/main/全区及银川市三年攻坚措施.txt","未载明","2026-09-21","B","不得外推具体县区量化强度。"
"2022-2024","市/县区","银川市","农业农村","动物源头防控","强制免疫、监测流调、移动控制、疫情报告、扑杀和无害化处理；指导养殖、屠宰、经营运输、生产加工主体履责","","持续实施","","全区及银川市三年攻坚措施.txt","内部/官方工作汇总","https://github.com/adgo07/wuqiong-paper/blob/main/全区及银川市三年攻坚措施.txt","未载明","2026-09-21","B","市级综合措施描述；无逐月强度台账。"
"2024","县区级","金凤区","卫生健康","高危人群筛查","对重点职业人群开展主动筛查","≥95%","","筛查率","关于印发2024年金凤区布鲁氏菌病防治专项三年攻坚行动重点工作任务的通知","政府正式通知","https://www.ycjinfeng.gov.cn/xxgk/xxgkbm/jfqwjj/xxgkml_19063/ylws_19068/202404/t20240401_4501845.html","2024-03-27","2026-09-21","A","仅代表金凤区，不外推为银川市完成率。"
"2024","县区级","金凤区","卫生健康","患者管理","病例一人一档、规范治疗与随访管理","档案管理率≥98%；治疗率≥98%","","比例","关于印发2024年金凤区布鲁氏菌病防治专项三年攻坚行动重点工作任务的通知","政府正式通知","https://www.ycjinfeng.gov.cn/xxgk/xxgkbm/jfqwjj/xxgkml_19063/ylws_19068/202404/t20240401_4501845.html","2024-03-27","2026-09-21","A","县区目标值。"
"2024","县区级","金凤区","农业农村","牛羊免疫","落实牛羊布病免疫","≥90%","","免疫接种率","关于印发2024年金凤区布鲁氏菌病防治专项三年攻坚行动重点工作任务的通知","政府正式通知","https://www.ycjinfeng.gov.cn/xxgk/xxgkbm/jfqwjj/xxgkml_19063/ylws_19068/202404/t20240401_4501845.html","2024-03-27","2026-09-21","A","县区目标值。"
"2024","县区级","金凤区","农业农村","扑杀/无害化","病畜扑杀并无害化处理","100%","","处理率","关于印发2024年金凤区布鲁氏菌病防治专项三年攻坚行动重点工作任务的通知","政府正式通知","https://www.ycjinfeng.gov.cn/xxgk/xxgkbm/jfqwjj/xxgkml_19063/ylws_19068/202404/t20240401_4501845.html","2024-03-27","2026-09-21","A","县区目标值。"
"2024","县区级","金凤区","农业农村","畜间监测","开展血清学和病原学监测；对流产、早产等异常开展病原监测；加强跨区域调运抽检","畜间个体阳性率<1%；相关调运抽检100%","","比例","关于印发2024年金凤区布鲁氏菌病防治专项三年攻坚行动重点工作任务的通知","政府正式通知","https://www.ycjinfeng.gov.cn/xxgk/xxgkbm/jfqwjj/xxgkml_19063/ylws_19068/202404/t20240401_4501845.html","2024-03-27","2026-09-21","A","县区目标及措施。"
"2024","县区级","金凤区","卫生健康/农业农村","职业防护/健康教育","重点职业人群个人防护、健康教育、学校健康教育和专业培训","职业防护≥98%；高危人群知晓率≥98%；培训覆盖100%","","比例","关于印发2024年金凤区布鲁氏菌病防治专项三年攻坚行动重点工作任务的通知","政府正式通知","https://www.ycjinfeng.gov.cn/xxgk/xxgkbm/jfqwjj/xxgkml_19063/ylws_19068/202404/t20240401_4501845.html","2024-03-27","2026-09-21","A","县区目标值。"
"2024-2030","市级","银川市","农业农村","持续动物源头防控","继续实施分区防控、人畜同步、区域联防；采取检疫、免疫、监测、扑杀及无害化处理综合措施","","持续实施","","《银川市畜间人兽共患病防治规划（2024—2030年）》","政府正式规划","https://www.yinchuan.gov.cn/xxgk/bmxxgkml/snmj/xxgkml_2283/zdgz_2294/202404/W020240407647321190197.pdf","2024-04（官网路径；PDF解析未显示精确发布日期）","2026-09-21","A","正式市级规划明确 2025 年后仍持续防控，因此 2025 不可视为 intervention withdrawal。"
"2025","市级","银川市","农业农村","净化/无疫创建","牛羊种畜场（站）和规模奶畜场布病净化或无疫目标","牛羊种畜场（站）≥50%；规模奶畜场≥25%","","达标比例","《银川市畜间人兽共患病防治规划（2024—2030年）》","政府正式规划","https://www.yinchuan.gov.cn/xxgk/bmxxgkml/snmj/xxgkml_2283/zdgz_2294/202404/W020240407647321190197.pdf","2024-04（官网路径；PDF解析未显示精确发布日期）","2026-09-21","A","银川市级 2025 目标。"
"2025-2027","自治区级","宁夏回族自治区","农业农村/动物疾控","巩固提升","实施《宁夏回族自治区布鲁氏菌病综合防控巩固提升行动实施方案（2025—2027年）》；开展“百乡千村万户”宣传培训暨“口罩+手套”3.0 专项行动","","已启动","","我区举办2025年“百乡千村万户”宣传培训暨“口罩+手套”3.0专项行动启动仪式","政府/官方机构发布","https://12316.nynct.nx.gov.cn/nyyw/11982.jhtml","2025-04-07","2026-09-21","A","自治区级证据，不得作为银川市具体完成量；用于确认 2025 进入巩固提升而非停止防控。"
